app_id,name,bundle_id,seller_name,url,average_rating,rating_count,price,currency,primary_genre,genres,matched_count,examples
951937596,Microsoft Outlook,com.microsoft.Office.Outlook,Microsoft Corporation,https://apps.apple.com/us/app/microsoft-outlook/id951937596?uo=4,4.79453,8210997,0.0,USD,Productivity,"Productivity, Business",150,"[{""matched_any"": """", ""rating"": 2, ""snippet"": ""Remove the back arrow button from top and put it in the bottom with the floating toolbar and make the toolbar persistent. Not floating.   And can you show avatar in compact dens..."", ""updated"": ""2025-08-22T02:17:56-07:00""}, {""matched_any"": """", ""rating"": 4, ""snippet"": ""Quien esta usando my cuenta de loanarodriguez70@outlook. com"", ""updated"": ""2025-08-21T20:45:27-07:00""}, {""matched_any"": """", ""rating"": 5, ""snippet"": ""Great"", ""updated"": ""2025-08-21T19:20:33-07:00""}, {""matched_any"": """", ""rating"": 5, ""snippet"": ""Literally makes my day better 💋"", ""updated"": ""2025-08-21T18:40:27-07:00""}, {""matched_any"": """", ""rating"": 2, ""snippet"": ""The emails that I delete and send to junk, are repeatedly, showing up. I feel helpless, like there is nothing that I can do. When I send mail to be deleted, and reported as junk..."", ""updated"": ""2025-08-21T18:27:04-07:00""}]"
298867247,Chase Mobile®: Bank & Invest,com.chase,"JPMorgan Chase Bank, NA",https://apps.apple.com/us/app/chase-mobile-bank-invest/id298867247?uo=4,4.84382,8131607,0.0,USD,Finance,"Finance, Productivity",150,"[{""matched_any"": """", ""rating"": 1, ""snippet"": ""I keep applying for a investing account and I keep getting disapproved. Has been going on for weeks."", ""updated"": ""2025-08-22T09:13:15-07:00""}, {""matched_any"": """", ""rating"": 5, ""snippet"": ""The chat was very easy to use"", ""updated"": ""2025-08-22T08:56:29-07:00""}, {""matched_any"": """", ""rating"": 5, ""snippet"": ""Eficiente como siempre, sistema simple al nivel de cada cual para ser usado sin complicaciones, gracias agentes de Chase ustedes son piezas  importantes para el servicio."", ""updated"": ""2025-08-22T08:45:30-07:00""}, {""matched_any"": """", ""rating"": 1, ""snippet"": ""You guys make it impossible to pay down the Chase credit card. You guys offer the “pay over time” on the credit but it’s 100% a scam. This options in the long run makes the bill..."", ""updated"": ""2025-08-22T08:34:35-07:00""}, {""matched_any"": """", ""rating"": 1, ""snippet"": ""You’ve made the recovery password too complex - please  simplify!"", ""updated"": ""2025-08-22T08:05:58-07:00""}]"
577586159,Yahoo Mail,com.yahoo.Aerogram,Yahoo Inc.,https://apps.apple.com/us/app/yahoo-mail/id577586159?uo=4,4.70198,4247791,0.0,USD,Productivity,"Productivity, Utilities",150,"[{""matched_any"": """", ""rating"": 1, ""snippet"": ""I have been a paid subscriber for years and haven’t had any problems with this app until the last upgrade.  All of the Toolbars are gone at the bottom of my In Box Home Screen, ..."", ""updated"": ""2025-08-22T07:17:50-07:00""}, {""matched_any"": """", ""rating"": 1, ""snippet"": ""Yahoo mail has sure gotten bad to use. I can’t view my email without first clicking the “all” tab. Then you have the sponsor advertising. Super annoying!"", ""updated"": ""2025-08-22T07:05:48-07:00""}, {""matched_any"": """", ""rating"": 5, ""snippet"": ""Also good to navigate through"", ""updated"": ""2025-08-22T06:50:11-07:00""}, {""matched_any"": """", ""rating"": 1, ""snippet"": ""I hate the most recent update. I prefer to be able to edit my inbox day by day, not by sender. Deleting my emails now takes 4-6 steps longer than before. *update* it was request..."", ""updated"": ""2025-08-22T04:58:57-07:00""}, {""matched_any"": """", ""rating"": 1, ""snippet"": ""Stop kicking me out of the app every other day! Then I reset password and I’m kicked out it again and told my password doesn’t work or is wrong."", ""updated"": ""2025-08-22T04:08:13-07:00""}]"
1087101090,Experian®,com.experian.experianapp,"CONSUMERINFO.COM, INC.",https://apps.apple.com/us/app/experian/id1087101090?uo=4,4.84432,2496246,0.0,USD,Finance,"Finance, Productivity",150,"[{""matched_any"": """", ""rating"": 2, ""snippet"": ""But turn the notifications off.  You guys are worse than the people that call about my car’s extended warranty."", ""updated"": ""2025-08-21T18:31:46-07:00""}, {""matched_any"": """", ""rating"": 2, ""snippet"": ""The credit check aspect is easy but the app is so over saturated with features it makes it a headache to do the simplest things because it’s so slow the load. The browser experi..."", ""updated"": ""2025-08-21T16:41:50-07:00""}, {""matched_any"": """", ""rating"": 5, ""snippet"": ""You are great with helping people to not get their information  scanned . I like it also for you can freeze you account so no one can hack it . It’s great . ⭐️⭐️⭐️⭐️⭐️"", ""updated"": ""2025-08-21T14:15:48-07:00""}, {""matched_any"": """", ""rating"": 1, ""snippet"": ""The two minute ads are so annoying."", ""updated"": ""2025-08-21T14:06:23-07:00""}, {""matched_any"": """", ""rating"": 1, ""snippet"": ""They refuse to tale down fraudulent credit reports that aren’t connected to your name. They don’t care if it affects your credit. Employees are trashy and unintelligent"", ""updated"": ""2025-08-21T05:35:54-07:00""}]"
422689480,Gmail - Email by Google,com.google.Gmail,Google LLC,https://apps.apple.com/us/app/gmail-email-by-google/id422689480?uo=4,4.71645,2343476,0.0,USD,Productivity,"Productivity, Social Networking",150,"[{""matched_any"": """", ""rating"": 1, ""snippet"": ""Просто не приходят очень важные письма!!"", ""updated"": ""2025-08-22T08:47:41-07:00""}, {""matched_any"": """", ""rating"": 5, ""snippet"": ""44"", ""updated"": ""2025-08-21T23:17:39-07:00""}, {""matched_any"": """", ""rating"": 1, ""snippet"": ""I dislike the recent change that kicks me over to safari whenever I click a link. I usually prefer temporary windows for pages. Please change that back!"", ""updated"": ""2025-08-21T21:47:23-07:00""}, {""matched_any"": """", ""rating"": 1, ""snippet"": ""If I register to protect my privacy, but I need to provide a real-name authenticated phone number, isn't it ridiculous?"", ""updated"": ""2025-08-21T21:43:49-07:00""}, {""matched_any"": """", ""rating"": 5, ""snippet"": ""This is very exhilarating, I use to go to every Email to unsubscribe now it profoundly easier to unsubscribe in its own tab! Thank you very much for this update! Been waiting my..."", ""updated"": ""2025-08-21T19:05:21-07:00""}]"
522826277,Remind: School Communication,com.remind101.Remind101,PARENTSQUARE LLC,https://apps.apple.com/us/app/remind-school-communication/id522826277?uo=4,4.79668,1681783,0.0,USD,Education,"Education, Social Networking",150,"[{""matched_any"": """", ""rating"": 1, ""snippet"": ""At the beginning of the year all my teachers made me use this I haven’t been receiving any updates so I try to log in and when I log in I’m just logged back out because I was al..."", ""updated"": ""2025-08-21T16:33:55-07:00""}, {""matched_any"": """", ""rating"": 5, ""snippet"": ""Good"", ""updated"": ""2025-08-21T09:30:24-07:00""}, {""matched_any"": """", ""rating"": 1, ""snippet"": ""First if your phone number was ever owned by someone else and they happened to have this app a decade ago, good luck. I'm connected to all of her old messages and classes for an..."", ""updated"": ""2025-08-21T06:44:38-07:00""}, {""matched_any"": """", ""rating"": 3, ""snippet"": ""Sometimes when I open the app to read a message, it will just close the whole app without showing me the message. This usually happens when the message has an attachment. Also, ..."", ""updated"": ""2025-08-20T15:17:34-07:00""}, {""matched_any"": """", ""rating"": 1, ""snippet"": ""Tried to sign up, but when I get to the name field it thinks it’s supposed to be a password and doesn’t allow me to continue"", ""updated"": ""2025-08-18T18:12:01-07:00""}]"
1038369065,Flo Cycle & Period Tracker,org.iggymedia.periodtracker,FLO HEALTH UK LIMITED,https://apps.apple.com/us/app/flo-cycle-period-tracker/id1038369065?uo=4,4.76389,1662464,0.0,USD,Health & Fitness,"Health & Fitness, Medical",150,"[{""matched_any"": """", ""rating"": 4, ""snippet"": ""It’s amazing but you have to pay a bit."", ""updated"": ""2025-08-22T07:30:41-07:00""}, {""matched_any"": """", ""rating"": 5, ""snippet"": ""I have loved this app for years now, but it was especially helpful tracking my pregnancy weeks and ovulation!"", ""updated"": ""2025-08-22T07:01:51-07:00""}, {""matched_any"": """", ""rating"": 1, ""snippet"": ""I was going to try out the premium and clicked the 14 day free trial option. What a lie. I didn’t get any free trial. Got charged immediately. Cancelled immediately but first mo..."", ""updated"": ""2025-08-22T06:35:16-07:00""}, {""matched_any"": """", ""rating"": 1, ""snippet"": ""On July 23 2025 I found the app, looked at it, wanted to try it out for free, as promised on the app, until I noticed it took $79 out of my account, I reversed the purchase and ..."", ""updated"": ""2025-08-22T06:31:47-07:00""}, {""matched_any"": """", ""rating"": 1, ""snippet"": ""They got sued for selling our private HEALTH data to Facebook and Google for advertising. The dudes who run this thing settled in court (so they paid a money without formally ac..."", ""updated"": ""2025-08-22T05:52:02-07:00""}]"
388627783,CamScanner - PDF Scanner App,com.intsig.CamScannerLite,"INTSIG Information Co., Ltd",https://apps.apple.com/us/app/camscanner-pdf-scanner-app/id388627783?uo=4,4.85463,1642206,0.0,USD,Productivity,"Productivity, Business",150,"[{""matched_any"": """", ""rating"": 4, ""snippet"": ""Great but could be less pay to use"", ""updated"": ""2025-08-22T06:53:16-07:00""}, {""matched_any"": """", ""rating"": 1, ""snippet"": ""It was so bad to me today I dont even wanna talk about it"", ""updated"": ""2025-08-21T13:44:02-07:00""}, {""matched_any"": """", ""rating"": 1, ""snippet"": ""Deleted this app after years. The ads are so invasive and obnoxious."", ""updated"": ""2025-08-21T10:58:20-07:00""}, {""matched_any"": """", ""rating"": 2, ""snippet"": ""Please tell me. It makes me pay money for things, but my friends don’t have to pay? What the freak, man? I just wanna do my homework…"", ""updated"": ""2025-08-21T09:54:23-07:00""}, {""matched_any"": """", ""rating"": 1, ""snippet"": ""Prior to Aug 19, 2025, could easily scan and email.  Since Aug 19th mysterious 3 years of locally stored files in the app disappeared.  Device indicated files are still there wi..."", ""updated"": ""2025-08-20T18:19:28-07:00""}]"
1108185179,Calendar,com.apple.mobilecal,Apple Inc.,https://apps.apple.com/us/app/calendar/id1108185179?uo=4,4.85226,1515525,0.0,USD,Productivity,Productivity,150,"[{""matched_any"": """", ""rating"": 5, ""snippet"": ""Amazing"", ""updated"": ""2025-08-21T14:43:50-07:00""}, {""matched_any"": """", ""rating"": 1, ""snippet"": ""This garbage app is deleting my events and I have no clue why. I even double checked and recreated my events just for them to be deleted again. Is the Cloud taking my data away?..."", ""updated"": ""2025-08-20T17:12:01-07:00""}, {""matched_any"": """", ""rating"": 1, ""snippet"": ""Draining how many times I went to make an appointment and it entered it in the wrong day. Nothing ever syncs properly and I've missed more appointments than made with the app be..."", ""updated"": ""2025-08-20T10:38:49-07:00""}, {""matched_any"": """", ""rating"": 3, ""snippet"": ""It’s not 5 stars because if you have a continuous reminder it will after a short while stop reminding you even if you have it set to remind you"", ""updated"": ""2025-08-20T07:13:18-07:00""}, {""matched_any"": """", ""rating"": 3, ""snippet"": ""My calendar app that comes on the phone has been doing something weird. Like right now if you just look at the screen it shows me it is June 2nd. It’s the 5th. If I click on it,..."", ""updated"": ""2025-08-18T06:38:46-07:00""}]"
481370590,JetBlue - Book & manage trips,com.jetblue.jetBlueiPhone,JetBlue Airways Corporation,https://apps.apple.com/us/app/jetblue-book-manage-trips/id481370590?uo=4,4.86362,1453205,0.0,USD,Travel,"Travel, Lifestyle",150,"[{""matched_any"": """", ""rating"": 1, ""snippet"": ""Please let me use my old app don’t want to buy new iPad for one app all other airlines are compatible"", ""updated"": ""2025-08-18T15:47:46-07:00""}, {""matched_any"": """", ""rating"": 1, ""snippet"": ""Even on my bday i can’t get a refund of points not even asking for a refund on my card, Garbage airline"", ""updated"": ""2025-08-17T17:21:26-07:00""}, {""matched_any"": """", ""rating"": 4, ""snippet"": ""I don’t know what all of these other people are talking about as the app works reasonably well and I’ve used it several times flying Jetblue. There is a problem however. The las..."", ""updated"": ""2025-08-17T05:32:45-07:00""}, {""matched_any"": """", ""rating"": 3, ""snippet"": ""The apple wallet boarding passes used to come up on my lock screen automatically, but no longer do. Now it wants me to just get the boarding pass in the app, but that requires m..."", ""updated"": ""2025-08-15T12:34:35-07:00""}, {""matched_any"": """", ""rating"": 1, ""snippet"": ""So bad. Mosaic member."", ""updated"": ""2025-08-13T15:37:26-07:00""}]"
